"","sub","grp","lipl_to_lput","lput_to_lipl","lput_to_smfc","smfc_to_lipl","smfc_to_lput"
"1","101","train",1.1727,1.3303,1.0275,0.2888,0.8999
"2","103","train",0.0483,0.2451,-1.2468,0.0726,-0.2909
"3","104","train",0.1809,-0.3479,-0.1728,-0.6335,0.9961
"4","105","train",-0.0138,-0.0122,-0.0157,-0.0066,-0.0067
"5","106","train",0.1008,0.3853,-1.1837,0.0549,-0.8617
"6","107","train",0.3567,1.4676,-2.0972,-0.7533,-0.5747
"7","108","train",-0.6479,-0.4865,-0.9548,0.0018,-0.7978
"8","109","train",-0.2148,0.1923,0.2481,-0.2649,-0.1144
"9","110","train",0.6051,1.586,1.0428,0.4197,0.4839
"10","111","train",0.2545,-0.1536,0.212,0.1682,-0.9568
"11","112","train",0.0027,0.02,-0.0052,0.005,0.0053
"12","113","train",-0.0088,-0.0315,0.416,-0.0701,-0.1925
"13","114","train",0.7798,-0.0147,1.7804,0.0653,-0.6597
"14","115","train",-0.499,-0.6885,0.5558,1.0434,0.6617
"15","116","train",1.0035,0.4066,-0.2771,0.5188,0.3827
"16","117","train",0.1926,0.2703,0.7839,0.1113,0.4266
"17","118","train",-2.4089,-1.5881,2.13,1.3345,-0.1395
"18","119","train",0.0269,-1.3642,0.6001,-0.222,-0.0139
"19","120","train",0.0671,0.8558,1.7164,0.3111,0.0617
"20","121","train",-0.8292,-0.9376,0.841,0.0137,0.812
"21","122","train",1.1439,1.7666,1.3874,-0.1021,1.0155
"22","123","train",-1.2767,-1.3883,-0.755,0.4708,-0.5123
"23","124","train",0.0924,2.4625,0.0574,-0.106,-0.0115
"24","125","train",-0.2396,1.1943,0.4997,-0.0417,0.2355
"25","126","train",0.2744,-0.0288,0.776,-0.0732,1.894
"26","127","train",0.8457,0.1862,0.5758,0.0469,2.0421
"27","129","train",-0.4274,-0.3671,-1.3202,-0.1915,-0.8976
"28","130","train",-0.0326,-0.1219,0.3237,-0.1042,0.1031
"29","131","train",0.212,0.2376,0.7759,0.0661,0.559
"30","132","train",-1.2557,0.9336,-1.2886,-0.1823,-1.3637
"31","133","train",-0.7232,-1.3634,-0.2069,0.0024,-0.0473
"32","134","train",0.0263,-0.0867,2.2269,1.1414,0.1287
"33","135","train",0.8053,-1.1976,0.361,-0.1495,0.287
"34","136","train",0.0072,0.0135,0.5306,0.0466,0.1654
"35","137","train",0.0055,-0.0016,0.001,0.0066,0.0068
"36","139","train",0.3295,0.1544,0.5799,0.0383,0.9031
"37","140","train",0.01,-0.427,-0.0857,-0.0129,0.0043
"38","141","train",2.4284,0.5445,-0.2178,0.0496,0.0472
"39","142","train",-0.0138,-0.1953,-0.8474,0.0238,0.1324
"40","143","train",0.6398,1.0449,0.1521,0.1603,0.3142
"41","144","train",0.0039,-0.0152,0.007,0.0038,-0.0042
"42","145","train",0.2384,-0.2732,-0.869,0.2122,0.5299
"43","146","train",0.1728,1.3577,0.2198,1.3362,0.3273
"44","147","train",-0.1835,1.2187,1.3061,0.7723,0.0706
"45","148","train",-0.0287,-0.0461,-0.1522,0.0095,-0.0875
"46","149","train",2.4331,0.7154,-0.2703,0.0836,-0.1596
"47","150","train",0.4447,-0.0047,0.6877,-0.2541,1.3149
"48","201","control",-0.0936,-0.2674,-0.2131,-0.0056,-0.0317
"49","202","control",0.0601,-0.6013,-1.7899,-0.872,-1.5824
"50","204","control",0.0065,0.1163,0.2499,0.0074,0.0158
"51","205","control",0.0619,0.3912,-0.955,0.7663,1.6842
"52","206","control",0.4967,-1.1627,-2.3514,0.5352,0.7849
"53","207","control",0.012,0.0103,-0.0033,-0.0011,0.0134
"54","208","control",-5e-04,0.0666,-0.6986,-0.0328,0.0642
"55","209","control",0.1601,2.564,0.7436,0.874,0.5961
"56","210","control",-0.271,-1.0928,-0.5961,0.2665,0.3327
"57","211","control",0.0104,0.4522,-1.5355,0.5221,0.1041
"58","212","control",0.1504,0.2866,1.9275,0.1213,0.6301
"59","213","control",-0.5832,0.2907,-1.806,0.4522,-0.3021
"60","214","control",-0.6832,0,0.3787,-1.0082,0
"61","215","control",-0.0145,8e-04,-9e-04,-0.0082,-0.0246
"62","216","control",0.0885,0.5913,-0.3547,-0.0316,-0.1014
"63","217","control",0.4399,1.1133,0.9121,0.3393,0.4322
"64","218","control",0.0151,1.7126,0.3688,-2.2197,-0.9387
"65","219","control",0.0576,-0.0089,1.2923,-0.017,1.0212
"66","220","control",0.2114,0.2734,2.0617,0.0609,0.9072
"67","221","control",-0.9262,-1.5482,-0.6866,-0.5501,0.6428
"68","222","control",-0.7947,-0.4204,-1.119,-0.2814,-1.9999
"69","223","control",-0.0128,0.2527,0.2848,0.0033,0.0078
"70","224","control",0.7365,0.1669,0.3368,-0.078,1.931
"71","225","control",0.0113,0.2428,0.665,0.1351,0.0057
"72","226","control",-0.0018,-0.0011,0.0087,0.0018,2e-04
"73","227","control",-0.1738,-0.5293,1.045,-0.081,0.5206
"74","228","control",-0.2603,0.015,-1.6097,1.7358,1.1792
"75","229","control",0.5156,0.9513,0.4081,0.023,0.1044
"76","230","control",0.7541,0.9782,-0.0117,0.3685,-0.1855
"77","231","control",0.2701,0.9427,-0.3414,-0.1088,-0.1301
"78","232","control",0.8865,1.6654,0.4478,0.1579,0.2256
"79","233","control",0.6077,0.8479,0.0837,0.042,0.1178
"80","234","control",0.4359,2.3763,-0.0011,-0.7563,-0.9775
"81","235","control",-0.0645,-0.7054,-0.2206,0.0069,-0.0233
"82","236","control",1.0655,-1.144,-1.3658,-0.5001,-0.2696
"83","237","control",-0.0143,2.2497,-0.9654,-0.8712,0.0923
"84","238","control",-0.8984,-2.1419,0.5074,-0.2471,0.268
"85","239","control",0.3381,-1.5527,-0.2826,1.123,-0.0197
"86","240","control",0.8138,0.2768,0.3183,-0.0562,1.3157
"87","241","control",0.0016,0.0165,0.0027,-1e-04,0.0034
"88","242","control",0.2074,0.8249,1.0865,0.3244,-0.9333
"89","243","control",0.0994,0.3301,2.1259,0.1032,0.3114
"90","244","control",0.2719,1.2115,0.1782,-0.0944,-0.2882
"91","245","control",-0.0648,-0.0132,0.1916,-0.036,0.4907
"92","246","control",0.2107,0.2516,1.2538,0.3702,0.484
"93","247","control",1.4758,1.3359,0.2456,0.0982,0.4742
"94","248","control",0.4123,1.3098,1.3352,1.267,0.6998
"95","249","control",1e-04,-0.0107,0.0078,-0.0035,-0.0038
"96","250","control",-0.1926,0.7867,-1.5141,-0.2426,0.3122
