"","sub","grp","ripl_to_rput","ripl_to_smfc","rput_to_ripl","rput_to_smfc","smfc_to_ripl","smfc_to_rput"
"1","101","train",0.1674,0.0213,-0.0278,0.8615,-0.3545,-1.5075
"2","103","train",-0.3685,0.5162,0.1171,-0.0556,-0.1334,-0.0049
"3","105","train",0.5008,0.5971,-0.2753,0.037,-0.4832,0.0068
"4","107","train",1.0776,-0.7888,-0.4789,-0.1434,0.4771,-0.0276
"5","108","train",-1.1296,1.3269,0.8952,-0.1009,-1.8072,-0.0639
"6","109","train",-1.2416,-0.2124,0,-2.4069,0,-2.2689
"7","110","train",0.7594,0.5575,-0.7464,0.0674,-0.648,0.0189
"8","111","train",-0.0899,1.5398,1.6576,0,-0.3932,-0.9128
"9","112","train",-0.9828,1.2663,0.0627,-0.2551,-0.1331,-0.0343
"10","113","train",-0.0476,0.0152,0.0165,0.4815,0.1171,-0.3853
"11","114","train",-1.0579,-0.4263,0.0145,0.1121,0.0338,-0.1481
"12","115","train",0.3634,0.777,-0.6885,-0.0288,-1.8055,0.0058
"13","116","train",0.3912,0.2256,-1.6508,-0.1133,0.4415,-0.4923
"14","117","train",0.5715,0.0705,0.2461,1.3102,0.9606,1.6256
"15","118","train",0.9806,1.1342,0.4566,0.5888,-0.5046,-0.0596
"16","119","train",0.0812,1.3703,-0.0137,0.0348,-0.1542,0.003
"17","120","train",-0.2734,-0.57,-0.0767,0.0481,-0.3165,0.0099
"18","121","train",0.3145,0.1343,1e-04,1.311,0.4625,1.3822
"19","122","train",0.3014,-0.661,-0.2273,-0.0019,0.9458,-0.0088
"20","123","train",-2.0042,-0.2202,-0.7825,0.4957,0.8025,8e-04
"21","124","train",-0.3234,0.3428,0.1711,0.3815,0.5801,-0.5877
"22","125","train",0.0054,2.062,1.4346,0,0.7359,-0.9123
"23","126","train",0.9179,1.2822,-1.1223,0.234,-1.2995,0.0551
"24","127","train",0.18,0.0455,-0.0188,0.4976,-0.3806,-2.7136
"25","129","train",0.561,0.5746,-0.5803,0.0358,-0.9962,0.0067
"26","130","train",2.378,2.914,1.6268,0.993,2.161,0.2236
"27","131","train",-0.6469,-0.1927,0.8925,-0.0338,-0.012,0.0195
"28","132","train",0.5898,-0.8479,-0.3849,-0.1146,0.5098,-0.01
"29","133","train",0.0186,0.2053,0.0058,0.0049,-0.0106,5e-04
"30","134","train",0.3695,0.8739,-0.4941,0.0345,-1.3916,-1e-04
"31","135","train",0.1349,-0.0512,-0.0209,-1.2659,0.0648,4.778
"32","136","train",1.0156,0.2139,-0.612,-0.911,0.1088,1.5204
"33","137","train",-0.0116,-0.1644,0.0524,0.3775,0.252,-0.0085
"34","139","train",-0.6734,0.2712,0.1339,-0.2442,0.0541,-0.1158
"35","140","train",1.038,1.6271,0.1216,0.325,0.2711,0.0441
"36","141","train",-0.1723,-0.025,0.0201,0.7011,0.1226,-1.9818
"37","142","train",0.6905,-0.4829,-1.1942,-0.0176,0.8701,-0.0038
"38","143","train",0.6345,-0.2014,-0.4668,-0.0329,0.2535,-0.0071
"39","145","train",0.0465,-0.038,-0.1057,0.5364,-0.1649,-0.6775
"40","146","train",0.1141,0.8581,-0.2217,-0.5681,-2.1872,-0.0054
"41","147","train",0.8066,-0.3336,-1.0161,-0.0373,0.4431,-0.0125
"42","148","train",0.1965,0.4814,0.074,0.7243,-0.1555,0
"43","149","train",-0.18,-1.0377,0.2588,-0.0355,2.8477,0.0051
"44","150","train",0.4206,-1.3922,-0.3633,-0.1341,1.106,-0.0184
"45","201","control",1.65,0.0697,-1.0441,-0.6193,0.2112,1.0164
"46","202","control",0.8299,1.9173,-0.3026,0.1094,-0.1252,0.0609
"47","204","control",-0.2233,0.3456,1.0314,1.3377,0.5813,-0.2601
"48","205","control",-1.5975,0.1778,0.3547,-0.0096,-0.022,-0.0165
"49","206","control",-0.2372,-1.6501,0.5942,-0.0188,3.2737,-0.0267
"50","207","control",0.7593,0.6253,-1.6368,0.0048,-0.4459,-0.0066
"51","208","control",0.1665,0.8086,-0.4973,-0.002,-1.4479,0.1143
"52","209","control",0.3974,0.728,0.0319,0.0171,0.02,0.0069
"53","210","control",-0.9009,0.0937,1.4156,1.9452,0,-0.3791
"54","211","control",-0.1981,-0.0058,0.5942,0.1007,-7e-04,0.0901
"55","212","control",0.196,0.0569,1.4475,0.3792,-1e-04,0.1998
"56","213","control",0.0923,-0.0375,0.2549,0,0,0.2518
"57","214","control",0.0547,-0.0532,-0.0501,1.2274,-0.3604,-0.3881
"58","215","control",0.0136,0.0153,0.0218,0.6821,0.4622,0.1522
"59","216","control",1.3389,2.4741,0.91,0.2671,0.4874,0.1717
"60","217","control",0.0235,0.9042,-0.0137,0.007,-0.1968,0.0071
"61","218","control",5.3009,0.0423,-1.4507,-0.3201,0.0342,0.4851
"62","219","control",0.007,0.0092,-0.0059,0.0094,-0.0042,-0.0067
"63","220","control",-0.3473,0.0756,0.1421,1.2465,0.5628,-1.1805
"64","221","control",0.5886,-0.1327,0.5589,0,0,0
"65","222","control",-0.0026,-0.0258,0.0164,-0.0121,0.0042,0.0052
"66","223","control",0.1934,0.3237,0.2657,2.2205,0.4845,0.717
"67","224","control",-0.0353,0.001,-0.0162,0.0128,-0.2256,-0.3005
"68","225","control",0.0026,0.0126,0.007,0.5921,0.0971,-0.0729
"69","226","control",-0.1146,0.0049,-0.0157,0.7205,-0.1565,-2.5489
"70","227","control",-0.202,-0.293,-0.5137,-0.0646,0.0118,0.0456
"71","228","control",-0.1869,0.0057,0.0017,0.1667,0.2123,-0.5951
"72","229","control",-0.1288,-0.1351,0.0196,4e-04,-0.0024,0.004
"73","230","control",-0.0051,-0.0227,-0.5725,0.0181,-0.0048,-0.0035
"74","231","control",0.062,-0.015,-0.0366,0.6173,-0.4083,-0.4147
"75","232","control",-2.1394,-1.4993,2.3628,0.2562,0.6861,0.2521
"76","233","control",0.114,0.4856,-0.0167,0.003,-0.0174,1e-04
"77","234","control",-0.0526,0.1142,0.206,1.4803,0.7344,-0.1772
"78","235","control",-0.1316,1.1302,0.1321,-0.0196,-0.657,-0.0374
"79","236","control",0.6769,0.4201,-0.0467,-0.0955,-0.1187,-0.0192
"80","237","control",-0.2373,1.2122,0,-1.8658,-0.7783,-0.9407
"81","238","control",0.6555,0.3475,-1.2304,0.0092,-0.1887,0.0018
"82","239","control",-0.1356,0.4158,0.0539,0,0,0
"83","240","control",-0.2553,-0.0286,0.0198,0.4231,0.5376,-1.0082
"84","241","control",0.005,0.0065,0.0201,0.2752,0.1421,0.1611
"85","242","control",0.794,0.1437,0.6194,0,-0.8574,0.1422
"86","243","control",0.0708,0.0061,0.0258,0.8427,0.3825,0.8326
"87","244","control",-0.0064,0.0355,-0.0463,0.7543,-0.5144,-1.267
"88","245","control",-0.0457,-0.0175,-0.0411,1.1083,-0.3684,0.4797
"89","246","control",0.0853,0.0834,0.3292,0.0043,0.3265,0.2049
"90","247","control",-0.0688,-0.0043,0.0155,-0.3043,-0.018,0.3144
"91","248","control",0.1295,-0.0104,0.0163,0.4782,0.4147,0.4537
"92","249","control",0.1033,0.0486,0.1566,0.8757,0.481,0.3608
"93","250","control",2.102,0.0459,-0.6166,0.0213,0.054,-0.589
